iter	MAE
0	10.50517414
1	10.4236086
2	10.34180572
3	10.26128971
4	10.1784961
5	10.09969177
6	10.01975994
7	9.93985095
8	9.860369835
9	9.782832024
10	9.706737149
11	9.629244098
12	9.556592272
13	9.484021418
14	9.412734338
15	9.341850262
16	9.270028228
17	9.199912867
18	9.129618021
19	9.058691283
20	8.990180261
21	8.920286912
22	8.85432326
23	8.788123597
24	8.723706663
25	8.659470965
26	8.593068743
27	8.531268374
28	8.465932227
29	8.405657716
30	8.343884735
31	8.283703724
32	8.224987964
33	8.165128242
34	8.107212151
35	8.047116558
36	7.988066565
37	7.933121076
38	7.876572162
39	7.820542746
40	7.766883278
41	7.714506844
42	7.660683694
43	7.607231947
44	7.557232992
45	7.505389895
46	7.454121742
47	7.405037053
48	7.354501466
49	7.301733454
50	7.252452596
51	7.204639831
52	7.156445538
53	7.111246075
54	7.065833957
55	7.018421422
56	6.973297733
57	6.929073517
58	6.884538495
59	6.84080262
60	6.800194504
61	6.755054058
62	6.710030674
63	6.668254143
64	6.627185475
65	6.586957261
66	6.544886169
67	6.505071157
68	6.464408134
69	6.425674259
70	6.385799966
71	6.348177542
72	6.309452815
73	6.272576526
74	6.236349227
75	6.198581916
76	6.161915095
77	6.125040976
78	6.090100152
79	6.056051583
80	6.02108758
81	5.98537843
82	5.94983738
83	5.917568266
84	5.884462664
85	5.85188397
86	5.821005447
87	5.787774999
88	5.757335963
89	5.724637771
90	5.69399745
91	5.662553034
92	5.631182794
93	5.600869169
94	5.572515647
95	5.543014367
96	5.516217084
97	5.485872622
98	5.459280756
99	5.431178152
100	5.404023345
101	5.376702209
102	5.349256544
103	5.322394739
104	5.297318867
105	5.271249327
106	5.244049986
107	5.217132918
108	5.190924627
109	5.164385098
110	5.13942579
111	5.113666042
112	5.09059826
113	5.067378464
114	5.043647899
115	5.020708743
116	4.997444512
117	4.973997849
118	4.950970319
119	4.92895676
120	4.906262009
121	4.884355497
122	4.864157308
123	4.844788172
124	4.821712318
125	4.801115031
126	4.781550133
127	4.760931375
128	4.740404038
129	4.720289504
130	4.701782567
131	4.68160327
132	4.663194313
133	4.644271247
134	4.625562281
135	4.606867124
136	4.588973231
137	4.572080779
138	4.554229994
139	4.537203888
140	4.521536545
141	4.505337092
142	4.488831979
143	4.472012848
144	4.45591013
145	4.441569878
146	4.425306847
147	4.410635321
148	4.396342094
149	4.380995019
150	4.367777378
151	4.354197543
152	4.340038602
153	4.325199901
154	4.309760347
155	4.295241165
156	4.281423458
157	4.267359914
158	4.255443491
159	4.241848633
160	4.227692454
161	4.213831128
162	4.202609567
163	4.190381032
164	4.177629162
165	4.164538598
166	4.151639951
167	4.139421037
168	4.126983845
169	4.115565214
170	4.103213761
171	4.091382077
172	4.079482144
173	4.067880289
174	4.056494128
175	4.04509864
176	4.033834187
177	4.022932614
178	4.012055239
179	4.002405959
180	3.993586102
181	3.98320985
182	3.973274357
183	3.962825246
184	3.953786828
185	3.944098907
186	3.935795793
187	3.92560111
188	3.915833839
189	3.907466073
190	3.897802031
191	3.88870047
192	3.87940517
193	3.870117423
194	3.861112657
195	3.853139679
196	3.844654493
197	3.836531923
198	3.827730596
199	3.820242706
200	3.812013161
201	3.803943838
202	3.796921361
203	3.788792423
204	3.781188425
205	3.773236524
206	3.765007395
207	3.757116259
208	3.749607885
209	3.743106676
210	3.736837979
211	3.729054289
212	3.722068321
213	3.71498953
214	3.707216218
215	3.70090268
216	3.693674202
217	3.686825116
218	3.679646537
219	3.672942383
220	3.665431639
221	3.658853717
222	3.651955634
223	3.645323084
224	3.638174197
225	3.631862702
226	3.625293096
227	3.618843453
228	3.612948732
229	3.606255719
230	3.599551458
231	3.593957635
232	3.587969913
233	3.58243741
234	3.576396569
235	3.570857518
236	3.564479416
237	3.557583403
238	3.552224615
239	3.546239729
240	3.541082027
241	3.534275849
242	3.526953106
243	3.519598674
244	3.513153832
245	3.505696875
246	3.498504108
